,name,NumberofSchools,GradesOffered,DistrictEnrollment,PercentofGiftedStudents,CharterSchoolEnrollment,GeographicSizeofDistrict,AmericanIndian_AlaskanNative,Asian,NativeHawaiianorotherPacificIslander,Black,Hispanic,White,TwoOrMoreRaces,EconomicallyDisadvantaged,EnglishLearner,SpecialEducation,Female,Male,Homeless,MilitaryConnected,perc_unconnected_students,Latitude,Longitude
15,Avella Area School District,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.4405574190613273,0.4589736759498644,-0.08662622022301797,-0.16121165009812055,-0.4924637909756968,-0.5637273724272767,-0.6837166060687205,-0.523819344232595,-0.6679763065873338,0.8993785626228628,-0.651123199690087,0.48176009655388785,-0.647712587098029,0.7525842912125373,-2.1383130156545884,2.195780108654529,-0.647628257769584,-0.20194110320895625,-0.44271413175546875,40.272438,-80.419892
16,Avon Grove School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.33952855949225,-0.2749331739721043,0.08613646067405391,-0.27475739235604124,-0.1594835312238368,-0.14974656471394185,-0.6837166060687205,-0.40150853078092247,1.7188120093226387,-0.4884793362345908,-0.8968331643828171,-0.9427022527181026,1.7698291945174314,-1.7265728661450932,-0.20618409793319842,0.19834900780340178,1.2418890124779434,0.2698220545685212,-0.8358370674894492,39.800229,-75.885693
17,Avonworth School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.18213671061822526,2.7096213490439016,-0.08436788452501703,-0.7831682417419381,-0.1594835312238368,-0.03475189590468221,0.20941058353413697,-0.3097754206921681,-0.4431339290016117,0.4382962041984595,0.004103372823859937,-1.9444582950923077,-0.2407996139548327,-1.462832743021941,-0.13717949372886204,0.12947207329129293,-1.0609601606362307,-0.5793516294309382,-1.4910419603794167,40.530425,-80.076983
18,Bald Eagle Area School District,5,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.25966292315115586,-0.6174230372690231,-0.07448766584626292,2.4507319588763252,0.5064769882798832,-0.5407284386654247,0.20941058353413697,-0.4626639375067587,-0.6074418203142548,0.820994561690714,-0.6784243068781681,-0.2420520727916359,-0.6237765298543115,-0.012262065844603693,-0.13717949372886204,0.12947207329129293,0.2380829626589444,-0.20194110320895625,-0.1806321745994818,40.935849,-77.811327
19,Baldwin-Whitehall School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.2502872748432321,0.6546821692623893,-0.07053557837476128,-0.7831682417419381,-0.1594835312238368,4.634031657751261,1.1025377731369945,-0.03457609042590495,-0.5036684152746908,-0.654468985267376,0.08600669438810325,0.16328274204185741,1.8895094807360184,-1.462832743021941,0.13883892308847867,-0.14603566475713756,-0.7066756724648193,0.08111679145753016,-0.1806321745994818,40.354733,-79.993543
20,Bangor Area School District,5,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.046379698449449,-0.5684959139408918,-0.042588674111999646,-0.03533249100873588,5.501180884557783,-0.40273483609431315,-0.6837166060687205,-0.3938641049401929,0.13626758246928738,0.18470090706503772,-0.07779994874038361,0.10537776849421551,-0.19292749946739784,0.014111946467711904,-0.20618409793319842,0.19834900780340178,-0.4704860136838783,-0.10758847165346078,-0.1806321745994818,40.88767,-75.152564
21,Beaver Area School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.17869110117231723,-0.47064166728462936,-0.06743036679000998,-0.66883942539948,-0.1594835312238368,-0.1727454984757938,-0.6837166060687205,-0.37857525325873387,-0.5209639827812848,0.6688373834106611,-0.7330265212543303,-1.411732538454002,-0.48016018639200697,-1.2254666322111039,-0.6202117231592119,0.61161061487605,-1.0019127459409956,0.36417468612401666,-1.2289600032234296,40.695733,-80.3148
22,Bedford Area School District,3,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.23175348663930084,-0.6663501605971544,-0.05133972494175329,1.9615064245615943,-0.1594835312238368,-0.40273483609431315,0.20941058353413697,-0.43973065998457017,-0.5382595502878788,0.7472213843428098,-0.6784243068781681,-0.03938466537488924,-0.5280323008794419,-0.5133682997785926,1.5189310071751871,-1.5235743549992948,0.8876045243065321,-0.5793516294309382,-0.049591196021488315,40.016087,-78.498797
23,Belle Vernon Area School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.10495505902988546,-0.47064166728462936,-0.06517203109200904,-0.45975864482799833,-0.4924637909756968,0.05724383914272562,-0.6837166060687205,-0.2715532914885205,-0.4344861452483147,0.36452302685055527,0.14060890876426554,-0.03938466537488924,-0.2407996139548327,-1.1463445952741584,1.2429125903578464,-1.2480666169508643,-0.647628257769584,-0.20194110320895625,-0.3116731531774753,40.179288,-79.813008
24,Bellefonte Area School District,6,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.07687334204573504,-0.3727874206283669,-0.04569388569675094,0.2541112674883948,1.1724375077836031,-0.40273483609431315,-0.6837166060687205,-0.4703083633474882,-0.4863728477680967,0.6780590305791493,-0.405413234997357,-0.9542832474276312,-0.43228807190457214,0.04048595878002657,0.8288849651318329,-0.8348050098782162,-0.7066756724648193,-0.48499899787544276,-0.8358370674894492,40.915586,-77.779197
27,Benton Area School District,3,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.41488762868931245,-1.204548517206598,-0.08747309610976832,0.06245388529786995,-0.4924637909756968,-0.4947305711417209,1.1025377731369945,-0.34799754989581577,-0.45178171275490875,0.7748863258482738,-1.2790486650159527,-0.09728963892253115,-0.5998404726105941,0.09323398340465683,1.4499264029708507,-1.454697420487186,-0.8247705018552898,-0.5793516294309382,-0.1806321745994818,41.200216,-76.378638
28,Bentworth School District,3,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3371891356840865,-1.155621393878467,-0.08013350509126527,-0.3104851474630594,-0.4924637909756968,-0.471731637379869,0.20941058353413697,-0.3709308274180043,-0.6506807390807398,0.6872806777476376,-0.07779994874038361,0.3717406468133683,-0.647712587098029,0.3042260819031788,0.13883892308847867,-0.14603566475713756,0.5333200361351206,-0.5793516294309382,-0.049591196021488315,40.127052,-80.027805
30,Bermudian Springs School District,3,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2129749151591021,-0.22600605064397303,-0.06545432305425916,-0.1519126453442391,-0.1594835312238368,-0.471731637379869,-0.6837166060687205,-0.5008860667104064,0.4908267163544644,0.18009008348079394,-0.21430548468078922,-0.5547389299489021,0.09430518745721136,-1.937564964643615,0.0008297146798058728,0.06059513877918409,-0.2342963549029374,-0.5793516294309382,-0.44271413175546875,39.979078,-77.083953
31,Berwick Area School District,5,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.06963756220932818,-0.47064166728462936,-0.060373067733757044,0.0031360233941630606,-0.1594835312238368,-0.4947305711417209,-0.6837166060687205,-0.34799754989581577,0.5513612026275433,0.10170608254864527,-0.4600154493735191,0.35436915474907593,0.11824124470092881,0.014111946467711904,1.3119171945621828,-1.3169435514629733,0.17903554796370938,0.08111679145753016,-0.049591196021488315,41.066654,-76.222652
32,Bethel Park School District,8,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.1741393060886647,0.7036092925905204,-0.07335849799726245,-0.7736734684669223,-0.1594835312238368,0.6782150507127279,1.1025377731369945,-0.34035312405508616,-0.5382595502878788,0.3875771447717754,-0.18700437749270796,-1.7244193956112686,-0.14505538497996295,-0.03863607815691929,-0.8272255357722162,0.8182414184123715,-1.0609601606362307,-0.5793516294309382,-1.3600009818014231,40.33704,-80.04594
33,Bethlehem Area School District,22,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.6941699131509906,0.6546821692623893,0.49404834612547366,-0.47698627468782073,0.5064769882798832,0.08024277290457747,1.1025377731369945,0.33235634992911245,3.2927086524226925,-1.8256181756653602,-0.9514353787589793,0.7423324775182765,1.3868522786179527,-0.22325416434312567,-0.13717949372886204,0.12947207329129293,0.17903554796370938,-0.5793516294309382,0.47457271829048564,40.633715,-75.36104
35,Big Beaver Falls Area School District,4,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.24329627828309275,0.21433805930920816,-0.056985564186755634,-0.6712865319136594,1.5054177675354632,-0.5407284386654247,0.20941058353413697,1.4331536709941652,-0.3480083077153447,-1.4106440530833972,4.836399345114218,1.5587926045400278,-0.3365438429297024,1.8866668206420922,0.2768481314971515,-0.28378953378135524,0.6514148655255912,-0.013235840097965312,2.440187396960388,40.756013,-80.320815
36,Big Spring School District,5,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.11236311933858771,0.21433805930920816,-0.04400013392325023,1.020642911989927,-0.4924637909756968,-0.40273483609431315,-0.6837166060687205,-0.4703083633474882,-0.5123161990279876,0.6734482069949056,-0.18700437749270796,-0.2767950569202207,-0.4562241291482895,1.8339187960174619,-0.06817488952452562,0.06059513877918409,0.5333200361351206,-0.29629373476445175,-0.1806321745994818,40.1742,-77.384365
37,Blackhawk School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.11684241161826815,0.21433805930920816,-0.07166474622376175,-0.19576479407833253,0.17349672852802323,-0.42573376985616507,-0.6837166060687205,-0.40150853078092247,-0.5382595502878788,0.6780590305791493,-0.3508110206211947,-0.7689873320751769,-0.5519683581231593,-0.4606202751539623,1.2429125903578464,-1.2480666169508643,-0.9428653312457602,2.8173431065668995,-0.9668780460674428,40.764179,-80.398366
38,Blacklick Valley School District,2,"PreKH, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.4172995553014481,-0.9109857772378106,-0.0854970523740175,-0.5603836646910522,-0.4924637909756968,-0.5177295049035728,-0.6837166060687205,-0.44737508582529967,-0.6939196578472246,0.8578811503646668,-0.6238220925020059,0.394902636232425,-0.5998404726105941,1.1745684882095813,-0.48220251475053916,0.47385674585183224,2.304742476992178,0.5528799492350076,0.47457271829048564,40.477653,-78.83636
40,Bloomsburg Area School District,5,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2591460817342697,-0.32386029730023563,-0.08182725686476597,-0.06029297745336512,-0.1594835312238368,-0.1957444322376457,0.20941058353413697,-0.164531329718307,0.006550826169832375,0.13398184763835363,0.03140448001194096,-0.033594168020124965,-0.1211193277362455,-1.3573366937726798,-0.34419330634187123,0.33610287682761947,-0.5295334283791135,-0.5793516294309382,0.08144978255650517,41.004807,-76.443188
41,Blue Mountain School District,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.09392910880297978,0.4100465526217331,-0.06234911146950787,0.3173444998147885,-0.1594835312238368,-0.3797359023324612,-0.6837166060687205,-0.4626639375067587,-0.20964376766259266,0.6042858532312451,-0.7876287356304926,-0.8037303162037621,-0.5040962436357244,0.6734622542755925,-1.793289994632911,1.7825185015818807,-0.647628257769584,0.4585273176795122,-0.8358370674894492,40.656767,-76.063403
42,Blue Ridge School District,3,"K4H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.34235754985294853,-1.0088400238940731,-0.08775538807201844,0.19322725741561314,-0.1594835312238368,-0.471731637379869,-0.6837166060687205,-0.4167973824623815,-0.4171905777417207,0.6872806777476376,-0.7057254140662493,-0.43313848549885403,-0.4562241291482895,0.25147805727854855,1.7949494239925279,-1.7990820930477254,-0.5885808430743488,0.17546942301302573,0.21249076113449866,41.899951,-75.738019
43,Boyertown Area School District,9,"PreKH, PreKF, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.6081138158007807,0.4589736759498644,-0.023110528716741543,0.06999097336154224,0.17349672852802323,-0.05775082966653406,0.20941058353413697,-0.27919771732925,-0.12316593012962264,0.3322472617608469,-0.5146176637496814,-0.9137497659442816,-0.48016018639200697,1.0954464512726354,-0.06817488952452562,0.06059513877918409,-0.647628257769584,-0.5793516294309382,-0.8358370674894492,40.338572,-75.626347
44,Bradford Area School District,4,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.1233890695654934,-0.7152772839252857,-0.07166474622376175,1.5928742992656209,0.5064769882798832,-0.4947305711417209,1.1025377731369945,-0.409152956621652,-0.5209639827812848,0.6918915013318813,-0.4873165565616003,1.0897623188041279,-0.5759044153668768,-0.22325416434312567,0.48386194411015576,-0.49042033731767687,0.5923674508303559,-0.29629373476445175,1.653941525492427,41.967295,-78.619819
47,Bristol Borough School District,3,"PreKH, PreKF, K4H, K4F, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3277137097078394,0.06755668932481428,-0.07618141761976362,-0.8705788864284236,0.17349672852802323,-0.3107391010469054,1.1025377731369945,0.4699560150622441,1.4334351454638372,-1.2216002861293922,1.369158732227916,1.5124686257019135,-0.1689914422236804,0.778958303524853,-2.3453268282675976,2.3335339776787465,0.6514148655255912,-0.20194110320895625,1.2608185897584465,40.106996,-74.842717
48,Bristol Township School District,6,"PreKH, PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.5309321642124409,-0.8620586539096794,0.04040516278953488,-0.7203265464578129,0.8394572480317433,0.1262406404282814,1.1025377731369945,0.7527997711692367,0.7502602289533744,-1.2584868748033444,2.133589733494187,0.8813044140326173,0.7405787330375819,0.7525842912125373,0.13883892308847867,-0.14603566475713756,0.0018933038780035104,-0.5793516294309382,0.6056136968684791,40.13558,-74.855003
49,Brockway Area School District,2,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.37267891297693917,-0.07922468065957938,-0.08916684788326902,0.38772328316258603,-0.1594835312238368,-0.5177295049035728,-0.6837166060687205,-0.5085304925511359,-0.6506807390807398,0.9685409163865233,-1.2244464506397905,-0.13782312040588024,-0.6237765298543115,-0.5397423120909082,1.2429125903578464,-1.2480666169508643,-0.11620152551246694,-0.3906463663199472,-0.1806321745994818,41.252097,-78.807405
