District Name,DistrictType,Virtual,Hybrid,In_Person,mean_proficient_english_2019,mean_proficient_math_2019,mean_proficient_english_2022,mean_proficient_math_2022,Unnamed: 0,NumberofSchools,GradesOffered,DistrictEnrollment,PercentofGiftedStudents,CharterSchoolEnrollment,GeographicSizeofDistrict,AmericanIndian_AlaskanNative,Asian,NativeHawaiianorotherPacificIslander,Black,Hispanic,White,TwoOrMoreRaces,EconomicallyDisadvantaged,EnglishLearner,SpecialEducation,Female,Male,Homeless,MilitaryConnected,perc_unconnected_students,Latitude,Longitude
ALTOONA AREA SCHOOL DISTRICT,Regular local school district,2.0,3.0,4.0,45.24444444444444,29.96666666666667,36.13333333333333,25.02222222222222,7.0,11.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.6870182721120746,-0.6174230372690231,-0.0132303100379874,-0.2016378497123629,0.5064769882798832,-0.4027348360943131,0.2094105835341369,0.1641789814330628,-0.4604294965082057,0.24464161366021,-0.1324021631165456,0.9334188902254944,-0.4801601863920069,1.4646826236450492,0.1388389230884786,-0.1460356647571375,0.9466519390017674,-0.2962937347644517,0.7366546754464726,40.510234,-78.398142
AMBRIDGE AREA SCHOOL DISTRICT,Regular local school district,1.0,5.0,0.0,40.525,23.05,31.775,19.775,8.0,5.0,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.1401002753781473,-1.3024027638628606,0.0325009878465316,-0.6382016518419548,-0.4924637909756968,-0.4947305711417209,0.2094105835341369,0.7222220678063187,-0.6420329553274426,-0.1242242730793125,0.8231365884662936,0.3601596521038402,0.3336657598943855,0.8317063281494832,-1.0342393483852257,1.024872221948698,0.8876045243065321,-0.5793516294309382,0.6056136968684791,40.591117,-80.225185
ANNVILLE-CLEONA SCHOOL DISTRICT,Regular local school district,0.0,6.0,3.0,45.85,31.55,43.55,25.75,,,,,,,,,,,,,,,,,,,,,,,,
ANTIETAM SCHOOL DISTRICT,Regular local school district,5.0,4.0,0.0,38.6,19.4,35.9,12.85,10.0,3.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.3170323204255245,-0.2749331739721043,-0.0826741327515163,-0.8376897748778536,-0.4924637909756968,-0.471731637379869,-0.6837166060687205,-0.065153793788823,4.148839243999095,-2.037716060540586,-0.1597032703046269,0.724960985453984,1.6980210227862793,1.200942500521897,-1.0342393483852257,1.024872221948698,-0.2342963549029374,-0.2962937347644517,0.3435317397124921,40.356083,-75.865089
ANTONIA PANTOJA COMMUNITY CS,Charter agency,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLO-RIDGE SCHOOL DISTRICT,Regular local school district,2.0,3.0,4.0,45.15,24.25,43.55,18.55,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG SCHOOL DISTRICT,Regular local school district,0.0,7.0,2.0,48.025,32.4,44.1875,30.075,12.0,8.0,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.2589012984580022,-0.2749331739721043,-0.041177214300749,3.459037726978775,-0.4924637909756968,-0.4947305711417209,-0.6837166060687205,-0.4167973824623815,-0.6247373878208488,0.8578811503646668,-0.9787364859470604,0.3601596521038402,-0.5998404726105941,0.2514780572785485,0.8288849651318329,-0.8348050098782162,0.2380829626589444,-0.2019411032089562,0.4745727182904856,40.831394,-79.547734
ARTS ACADEMY CS,Charter agency,5.0,4.0,0.0,52.7,14.2,46.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,
ARTS ACADEMY ELEMENTARY CS,Charter agency,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHENS AREA SCHOOL DISTRICT,Regular local school district,0.0,3.0,6.0,47.23333333333333,29.76666666666667,43.3,26.8,13.0,4.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.1702493580298425,-0.2749331739721043,-0.0736407899595125,0.9025944937459164,-0.1594835312238368,-0.2187433659994976,1.1025377731369943,-0.3479975498958157,-0.3825994427285327,0.6088966768154889,-0.8695320571947359,-0.2767950569202207,-0.5040962436357244,0.1987300326539182,-0.8272255357722162,0.8182414184123715,-0.3523911842934078,-0.3906463663199472,-0.1806321745994818,41.970859,-76.528231
AUSTIN AREA SCHOOL DISTRICT,Regular local school district,0.0,7.0,2.0,54.65000000000001,32.0,51.45,34.75,,,,,,,,,,,,,,,,,,,,,,,,
AVELLA AREA SCHOOL DISTRICT,Regular local school district,1.0,8.0,0.0,53.55,28.45,51.34999999999999,16.75,15.0,2.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.4405574190613273,0.4589736759498644,-0.0866262202230179,-0.1612116500981205,-0.4924637909756968,-0.5637273724272767,-0.6837166060687205,-0.523819344232595,-0.6679763065873338,0.8993785626228628,-0.651123199690087,0.4817600965538878,-0.647712587098029,0.7525842912125373,-2.1383130156545884,2.195780108654529,-0.647628257769584,-0.2019411032089562,-0.4427141317554687,40.272438,-80.419892
AVON GROVE CS,Charter agency,1.0,7.0,1.0,44.0,29.5,41.1,23.0,,,,,,,,,,,,,,,,,,,,,,,,
AVON GROVE SCHOOL DISTRICT,Regular local school district,5.0,2.0,2.0,45.40000000000001,31.55,42.09999999999999,27.85,16.0,4.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.33952855949225,-0.2749331739721043,0.0861364606740539,-0.2747573923560412,-0.1594835312238368,-0.1497465647139418,-0.6837166060687205,-0.4015085307809224,1.718812009322639,-0.4884793362345908,-0.8968331643828171,-0.9427022527181026,1.7698291945174314,-1.7265728661450932,-0.2061840979331984,0.1983490078034017,1.2418890124779434,0.2698220545685212,-0.8358370674894492,39.800229,-75.885693
AVONWORTH SCHOOL DISTRICT,Regular local school district,1.0,7.0,1.0,51.2,33.85,49.3,34.15000000000001,17.0,4.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.1821367106182252,2.7096213490439016,-0.084367884525017,-0.7831682417419381,-0.1594835312238368,-0.0347518959046822,0.2094105835341369,-0.3097754206921681,-0.4431339290016117,0.4382962041984595,0.0041033728238599,-1.9444582950923075,-0.2407996139548327,-1.462832743021941,-0.137179493728862,0.1294720732912929,-1.0609601606362309,-0.5793516294309382,-1.4910419603794167,40.530425,-80.076983
BADEN ACADEMY CS,Charter agency,2.0,7.0,0.0,45.9,32.6,32.3,23.2,,,,,,,,,,,,,,,,,,,,,,,,
BALD EAGLE AREA SCHOOL DISTRICT,Regular local school district,0.0,0.0,0.0,54.5,40.02,40.02,26.38,18.0,5.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2596629231511558,-0.6174230372690231,-0.0744876658462629,2.4507319588763252,0.5064769882798832,-0.5407284386654247,0.2094105835341369,-0.4626639375067587,-0.6074418203142548,0.820994561690714,-0.6784243068781681,-0.2420520727916359,-0.6237765298543115,-0.0122620658446036,-0.137179493728862,0.1294720732912929,0.2380829626589444,-0.2019411032089562,-0.1806321745994818,40.935849,-77.811327
BALDWIN-WHITEHALL SCHOOL DISTRICT,Regular local school district,1.0,8.0,0.0,50.63333333333333,33.53333333333333,43.1,25.1,19.0,4.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.2502872748432321,0.6546821692623893,-0.0705355783747612,-0.7831682417419381,-0.1594835312238368,4.634031657751261,1.1025377731369943,-0.0345760904259049,-0.5036684152746908,-0.654468985267376,0.0860066943881032,0.1632827420418574,1.8895094807360184,-1.462832743021941,0.1388389230884786,-0.1460356647571375,-0.7066756724648193,0.0811167914575301,-0.1806321745994818,40.354733,-79.993543
BANGOR AREA SCHOOL DISTRICT,Regular local school district,0.0,6.0,3.0,47.43333333333334,29.9,42.6,25.7,20.0,5.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.046379698449449,-0.5684959139408918,-0.0425886741119996,-0.0353324910087358,5.501180884557783,-0.4027348360943131,-0.6837166060687205,-0.3938641049401929,0.1362675824692873,0.1847009070650377,-0.0777999487403836,0.1053777684942155,-0.1929274994673978,0.0141119464677119,-0.2061840979331984,0.1983490078034017,-0.4704860136838783,-0.1075884716534607,-0.1806321745994818,40.88767,-75.152564
BEAR CREEK COMMUNITY CS,Charter agency,1.0,8.0,0.0,50.2,31.1,46.3,24.1,,,,,,,,,,,,,,,,,,,,,,,,
BEAVER AREA SCHOOL DISTRICT,Regular local school district,1.0,8.0,0.0,44.3,32.2,43.05,29.95,21.0,4.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.1786911011723172,-0.4706416672846293,-0.0674303667900099,-0.66883942539948,-0.1594835312238368,-0.1727454984757938,-0.6837166060687205,-0.3785752532587338,-0.5209639827812848,0.6688373834106611,-0.7330265212543303,-1.411732538454002,-0.4801601863920069,-1.225466632211104,-0.6202117231592119,0.61161061487605,-1.0019127459409956,0.3641746861240166,-1.2289600032234296,40.695733,-80.3148
BEAVER COUNTY CTC,Specialized public school district,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AREA SCHOOL DISTRICT,Regular local school district,1.0,5.0,3.0,46.59999999999999,30.85,44.75,25.15,22.0,3.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.2317534866393008,-0.6663501605971544,-0.0513397249417532,1.9615064245615943,-0.1594835312238368,-0.4027348360943131,0.2094105835341369,-0.4397306599845701,-0.5382595502878788,0.7472213843428098,-0.6784243068781681,-0.0393846653748892,-0.5280323008794419,-0.5133682997785926,1.5189310071751871,-1.5235743549992948,0.8876045243065321,-0.5793516294309382,-0.0495911960214883,40.016087,-78.498797
BEDFORD COUNTY TECHNICAL CENTER,Specialized public school district,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLE VERNON AREA SCHOOL DISTRICT,Regular local school district,1.0,0.0,8.0,51.23333333333333,30.86666666666666,48.2,27.3,23.0,4.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.1049550590298854,-0.4706416672846293,-0.065172031092009,-0.4597586448279983,-0.4924637909756968,0.0572438391427256,-0.6837166060687205,-0.2715532914885205,-0.4344861452483147,0.3645230268505552,0.1406089087642655,-0.0393846653748892,-0.2407996139548327,-1.1463445952741584,1.2429125903578464,-1.2480666169508643,-0.647628257769584,-0.2019411032089562,-0.3116731531774753,40.179288,-79.813008
BELLEFONTE AREA SCHOOL DISTRICT,Regular local school district,0.0,8.0,1.0,45.8,31.72000000000001,44.96,30.78,24.0,6.0,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.076873342045735,-0.3727874206283669,-0.0456938856967509,0.2541112674883948,1.1724375077836031,-0.4027348360943131,-0.6837166060687205,-0.4703083633474882,-0.4863728477680967,0.6780590305791493,-0.405413234997357,-0.9542832474276312,-0.4322880719045721,0.0404859587800265,0.8288849651318329,-0.8348050098782162,-0.7066756724648193,-0.4849989978754427,-0.8358370674894492,40.915586,-77.779197
BELLWOOD-ANTIS SCHOOL DISTRICT,Regular local school district,1.0,7.0,1.0,49.55,29.7,43.3,25.1,,,,,,,,,,,,,,,,,,,,,,,,
BELMONT CHARTER SCHOOL,,,,,23.3,11.5,20.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,
BELMONT CS,Charter agency,6.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENSALEM TOWNSHIP SCHOOL DISTRICT,Regular local school district,0.0,9.0,0.0,41.9125,25.25,33.7625,16.15,,,,,,,,,,,,,,,,,,,,,,,,
