"","id","subclass","weights","District.Name","DistrictType","Virtual","Hybrid","In_Person","mean_proficient_english_2019","mean_proficient_math_2019","mean_proficient_english_2022","mean_proficient_math_2022","Unnamed..0","NumberofSchools","GradesOffered","DistrictEnrollment","PercentofGiftedStudents","CharterSchoolEnrollment","GeographicSizeofDistrict","AmericanIndian_AlaskanNative","Asian","NativeHawaiianorotherPacificIslander","Black","Hispanic","White","TwoOrMoreRaces","EconomicallyDisadvantaged","EnglishLearner","SpecialEducation","Female","Male","Homeless","MilitaryConnected","perc_unconnected_students","Latitude","Longitude","treatment","distance"
"1","7","1",1,"ALTOONA AREA SCHOOL DISTRICT","Regular local school district",2,3,4,45.2444444444444,29.9666666666667,36.1333333333333,25.0222222222222,7,11,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.687018272112075,-0.617423037269023,-0.0132303100379874,-0.201637849712363,0.506476988279883,-0.402734836094313,0.209410583534137,0.164178981433063,-0.460429496508206,0.24464161366021,-0.132402163116546,0.933418890225494,-0.480160186392007,1.46468262364505,0.138838923088479,-0.146035664757138,0.946651939001767,-0.296293734764452,0.736654675446473,40.510234,-78.398142,1,0.32984323122239
"2","50","1",1,"CARBONDALE AREA SCHOOL DISTRICT","Regular local school district",6,3,0,43.5,18.85,30.15,10.35,61,2,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.264831337320018,-1.2045485172066,-0.036378250942497,-0.706720634238976,0.173496728528023,-0.379735902332461,0.209410583534137,-0.0957314971517412,0.897272552759423,-0.377819570212734,0.167910015952347,0.892885408742146,-0.336543842929702,1.64930070983126,-1.93129920304158,1.9202723706061,-0.588580843074349,-0.579351629430938,0.736654675446473,41.56589,-75.51645,0,0.246532101693669
"3","10","2",1,"ARMSTRONG SCHOOL DISTRICT","Regular local school district",0,7,2,48.025,32.4,44.1875,30.075,12,8,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.258901298458002,-0.274933173972104,-0.041177214300749,3.45903772697877,-0.492463790975697,-0.494730571141721,-0.68371660606872,-0.416797382462382,-0.624737387820849,0.857881150364667,-0.97873648594706,0.36015965210384,-0.599840472610594,0.251478057278548,0.828884965131833,-0.834805009878216,0.238082962658944,-0.201941103208956,0.474572718290486,40.831394,-79.547734,1,0.456606817993195
"4","53","2",1,"CARMICHAELS AREA SCHOOL DISTRICT","Regular local school district",0,8,1,45.2,21.9,37.25,19.5,64,3,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.355450865747399,-1.15562139387847,-0.0823918407892662,-0.506253668597406,-0.159483531223837,-0.471731637379869,1.99566496273985,-0.4473750858253,-0.702567441600522,0.862491973948911,-0.787628735630493,0.319626170620491,-0.647712587098029,0.805332315837169,1.72594481978819,-1.73020515853562,-0.234296354902937,-0.579351629430938,0.212490761134499,39.89819,-79.979714,0,0.365328817306007
"5","11","3",1,"ATHENS AREA SCHOOL DISTRICT","Regular local school district",0,3,6,47.2333333333333,29.7666666666667,43.3,26.8,13,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.170249358029843,-0.274933173972104,-0.0736407899595125,0.902594493745916,-0.159483531223837,-0.218743365999498,1.10253777313699,-0.347997549895816,-0.382599442728533,0.608896676815489,-0.869532057194736,-0.276795056920221,-0.504096243635724,0.198730032653918,-0.827225535772216,0.818241418412372,-0.352391184293408,-0.390646366319947,-0.180632174599482,41.970859,-76.528231,1,0.370849289359227
"6","245","3",1,"NORTH PENN SCHOOL DISTRICT","Regular local school district",2,7,0,45.5375,32.75625,42.69375,28.3,287,17,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1.71708321596628,1.53537038916875,-0.0298855358107443,-0.47042802922982,0.173496728528023,4.19705191627607,0.209410583534137,0.164178981433063,0.0670853124429113,-1.12016216727602,0.795835481278212,-0.774777829429941,1.4586604503491,-0.0122620658446036,-0.0681748895245256,0.060595138779184,-0.647628257769584,-0.201941103208956,-0.704796088911456,40.231849,-75.280522,0,0.2540080125576
"7","13","4",1,"AVON GROVE SCHOOL DISTRICT","Regular local school district",5,2,2,45.4,31.55,42.1,27.85,16,4,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",0.33952855949225,-0.274933173972104,0.0861364606740539,-0.274757392356041,-0.159483531223837,-0.149746564713942,-0.68371660606872,-0.401508530780922,1.71881200932264,-0.488479336234591,-0.896833164382817,-0.942702252718103,1.76982919451743,-1.72657286614509,-0.206184097933198,0.198349007803402,1.24188901247794,0.269822054568521,-0.835837067489449,39.800229,-75.885693,1,0.317722707012932
"8","3","4",1,"ALBERT GALLATIN AREA SCHOOL DISTRICT","Regular local school district",2,7,0,40.1857142857143,27.8142857142857,40.5571428571429,19.9,2,8,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.0088225554890515,-0.0792246806595793,-0.0564209802622554,0.497940960561223,-0.159483531223837,-0.540728438665425,0.209410583534137,-0.263908865647791,-0.659328522834037,0.604285853231245,0.113307801576184,0.510712583327709,-0.647712587098029,1.93941484526672,0.759880360927496,-0.765928075366107,-0.706675672464819,-0.296293734764452,1.65394152549243,39.83006,-79.771237,0,0.239689267799383
"9","17","5",1,"BANGOR AREA SCHOOL DISTRICT","Regular local school district",0,6,3,47.4333333333333,29.9,42.6,25.7,20,5,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.046379698449449,-0.568495913940892,-0.0425886741119996,-0.0353324910087358,5.50118088455778,-0.402734836094313,-0.68371660606872,-0.393864104940193,0.136267582469287,0.184700907065038,-0.0777999487403836,0.105377768494215,-0.192927499467398,0.0141119464677119,-0.206184097933198,0.198349007803402,-0.470486013683878,-0.107588471653461,-0.180632174599482,40.88767,-75.152564,1,0.981551186422094
"10","365","5",1,"TITUSVILLE AREA SCHOOL DISTRICT","Regular local school district",1,8,0,46.975,28.925,40.025,23.475,426,6,"K4H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",-0.198847916430879,-0.274933173972104,-0.0713824542615116,1.07046600061862,-0.159483531223837,-0.448732703618017,-0.68371660606872,-0.485597215028947,-0.443133929001612,0.655004912657929,-0.187004377492708,1.13608629764224,-0.528032300879442,0.0404859587800265,1.72594481978819,-1.73020515853562,0.710462280220826,9.1389694207851,0.474572718290486,41.64634,-79.71919,0,0.75550811876298
