DistrictName,DistrictType,Virtual,Hybrid,In_Person
South Williamsport Area SD,Regular local school district,0,9,0
Southeast Delco SD,Regular local school district,9,0,0
Southeastern Greene SD,Regular local school district,1,6,2
Southern Columbia Area SD,Regular local school district,0,9,0
Southern Fulton SD,Regular local school district,2,2,5
Southern Huntingdon County SD,Regular local school district,1,6,2
Southern Lehigh SD,Regular local school district,0,9,0
Southern Tioga SD,Regular local school district,1,6,2
Southern York County SD,Regular local school district,0,8,1
Southmoreland SD,Regular local school district,1,8,0
Southwest Leadership Academy CS,Charter agency,9,0,0
Spectrum CS,Charter agency,0,0,0
Spring Cove SD,Regular local school district,1,2,6
Spring Grove Area SD,Regular local school district,0,3,6
Spring-Ford Area SD,Regular local school district,2,7,0
Springfield SD,Regular local school district,1,8,0
Springfield Township SD,Regular local school district,2,7,0
State College Area SD,Regular local school district,0,9,0
Steel Center for Career and Technical Education,Specialized public school district,0,0,0
Steel Valley SD,Regular local school district,4,5,0
Steelton-Highspire SD,Regular local school district,3,6,0
Sto-Rox SD,Regular local school district,3,6,0
Stone Valley Community CS,Charter agency,0,0,0
Stroudsburg Area SD,Regular local school district,0,9,0
Sugar Valley Rural CS,Charter agency,1,8,0
Sullivan County SD,Regular local school district,1,8,0
Susquehanna Community SD,Regular local school district,0,9,0
Susquehanna County CTC,Specialized public school district,0,0,0
Susquehanna Township SD,Regular local school district,3,6,0
Susquenita SD,Regular local school district,0,0,9
Sylvan Heights Science CS,Charter agency,6,3,0
TECH Freire CS,Charter agency,9,0,0
Tacony Academy CS,Charter agency,6,3,0
Tamaqua Area SD,Regular local school district,0,6,3
The New Academy CS,Charter agency,6,3,0
The Philadelphia CS for Arts and Sciences at HR Edmunds,Charter agency,9,0,0
Tidioute Community CS,Charter agency,0,8,1
Titusville Area SD,Regular local school district,1,8,0
Towanda Area SD,Regular local school district,0,0,9
Tredyffrin-Easttown SD,Regular local school district,1,8,0
Tri-Valley SD,Regular local school district,0,9,0
Trinity Area SD,Regular local school district,1,5,3
Troy Area SD,Regular local school district,0,9,0
Tulpehocken Area SD,Regular local school district,0,6,3
Tunkhannock Area SD,Regular local school district,0,7,2
Turkeyfoot Valley Area SD,Regular local school district,0,9,0
Tuscarora SD,Regular local school district,0,8,1
Tussey Mountain SD,Regular local school district,1,2,6
Twin Valley SD,Regular local school district,0,0,9
Tyrone Area SD,Regular local school district,1,8,0
Union Area SD,Regular local school district,3,6,0
Union City Area SD,Regular local school district,0,0,9
Union SD,Regular local school district,1,7,1
Uniontown Area SD,Regular local school district,2,7,0
Unionville-Chadds Ford SD,Regular local school district,1,6,2
United SD,Regular local school district,0,0,9
Universal Alcorn CS,Charter agency,9,0,0
Universal Audenried CS,Charter agency,9,0,0
Universal Bluford CS,Charter agency,9,0,0
Universal Creighton CS,Charter agency,9,0,0
Universal Daroff CS,Charter agency,9,0,0
Universal Institute CS,Charter agency,9,0,0
Universal Vare CS,Charter agency,0,0,0
Upper Adams SD,Regular local school district,0,3,6
Upper Bucks County Technical School,Specialized public school district,0,2,7
Upper Darby SD,Regular local school district,9,0,0
Upper Dauphin Area SD,Regular local school district,0,3,6
Upper Dublin SD,Regular local school district,2,3,4
Upper Merion Area SD,Regular local school district,7,0,2
Upper Moreland Township SD,Regular local school district,2,5,2
Upper Perkiomen SD,Regular local school district,4,5,0
Upper Saint Clair SD,Regular local school district,0,9,0
Urban Academy of Greater Pittsburgh CS,Charter agency,0,9,0
Urban Pathways 6-12 CS,Charter agency,8,1,0
Urban Pathways K-5 College CS,Charter agency,9,0,0
Valley Grove SD,Regular local school district,1,7,1
Valley View SD,Regular local school district,6,0,3
Venango Technology Center,Specialized public school district,0,0,0
Vida CS,Charter agency,0,0,9
Vision Academy CS,Charter agency,9,0,0
Wallenpaupack Area SD,Regular local school district,0,9,0
Wallingford-Swarthmore SD,Regular local school district,1,6,2
Warren County AVTS,Specialized public school district,0,0,0
Warren County SD,Regular local school district,0,2,7
Warrior Run SD,Regular local school district,0,7,2
Warwick SD,Regular local school district,0,2,7
Washington SD,Regular local school district,0,9,0
Wattsburg Area SD,Regular local school district,1,5,3
Wayne Highlands SD,Regular local school district,0,6,3
Waynesboro Area SD,Regular local school district,0,6,3
Weatherly Area SD,Regular local school district,3,6,0
Wellsboro Area SD,Regular local school district,0,4,5
West Allegheny SD,Regular local school district,0,0,9
West Branch Area SD,Regular local school district,0,0,0
West Chester Area SD,Regular local school district,1,6,2
West Greene SD,Regular local school district,0,9,0
West Jefferson Hills SD,Regular local school district,0,9,0
West Middlesex Area SD,Regular local school district,0,5,4
West Mifflin Area SD,Regular local school district,1,8,0
West Oak Lane CS,Charter agency,9,0,0
West Perry SD,Regular local school district,0,6,3
West Phila. Achievement CES,Charter agency,8,1,0
West Shore SD,Regular local school district,1,8,0
West Side CTC,Specialized public school district,2,7,0
West York Area SD,Regular local school district,0,9,0
Western Area CTC,Specialized public school district,0,0,0
Western Beaver County SD,Regular local school district,1,8,0
Western Montgomery CTC,Specialized public school district,0,0,0
Western Wayne SD,Regular local school district,0,9,0
Westinghouse Arts Academy CS,Charter agency,1,8,0
Westmont Hilltop SD,Regular local school district,1,3,5
Whitehall-Coplay SD,Regular local school district,0,9,0
Widener Partnership CS,Charter agency,9,0,0
Wilkes-Barre Area CTC,Specialized public school district,5,4,0
Wilkes-Barre Area SD,Regular local school district,9,0,0
Wilkinsburg Borough SD,Regular local school district,7,0,2
William Penn SD,Regular local school district,5,4,0
Williams Valley SD,Regular local school district,0,9,0
Williamsburg Community SD,Regular local school district,1,4,4
Williamsport Area SD,Regular local school district,1,8,0
Wilmington Area SD,Regular local school district,1,3,5
Wilson Area SD,Regular local school district,0,9,0
Wilson SD,Regular local school district,0,0,9
Windber Area SD,Regular local school district,1,6,2
Wissahickon CS,Charter agency,9,0,0
Wissahickon SD,Regular local school district,0,3,6
Woodland Hills SD,Regular local school district,6,3,0
Wyalusing Area SD,Regular local school district,0,8,1
Wyoming Area SD,Regular local school district,6,3,0
Wyoming Valley West SD,Regular local school district,2,6,1
Wyomissing Area SD,Regular local school district,0,9,0
York Academy Regional CS,Charter agency,5,4,0
York City SD,Regular local school district,0,9,0
York Co School of Technology,Specialized public school district,0,9,0
York Suburban SD,Regular local school district,0,8,1
Yough SD,Regular local school district,2,3,4
Young Scholars CS,Charter agency,0,0,0
Young Scholars of Central PA CS,Charter agency,0,0,0
Young Scholars of Greater Allegheny CS,Charter agency,9,0,0
Young Scholars of Western Pennsylvania CS,Charter agency,6,1,2
Youth Build Phila CS,Charter agency,9,0,0
