DistrictName,DistrictType,Virtual,Hybrid,In_Person
Conemaugh Valley SD,Regular local school district,1,4,4
Conestoga Valley SD,Regular local school district,0,1,8
Conewago Valley SD,Regular local school district,0,8,1
Conneaut SD,Regular local school district,0,9,0
Connellsville Area Career & Technical Center,Specialized public school district,0,0,0
Connellsville Area SD,Regular local school district,0,9,0
Conrad Weiser Area SD,Regular local school district,0,8,1
Cornell SD,Regular local school district,0,9,0
Cornwall-Lebanon SD,Regular local school district,0,0,9
Corry Area SD,Regular local school district,0,1,8
Coudersport Area SD,Regular local school district,0,0,0
Council Rock SD,Regular local school district,0,7,2
Cranberry Area SD,Regular local school district,1,5,3
Crawford Central SD,Regular local school district,1,5,3
Crawford County CTC,Specialized public school district,0,0,0
Crestwood SD,Regular local school district,4,4,1
Crispus Attucks CS,Charter agency,0,9,0
Cumberland Perry AVTS,Specialized public school district,0,0,0
Cumberland Valley SD,Regular local school district,0,0,9
Curwensville Area SD,Regular local school district,0,9,0
Dallas SD,Regular local school district,0,0,0
Dallastown Area SD,Regular local school district,0,3,6
Daniel Boone Area SD,Regular local school district,0,1,8
Danville Area SD,Regular local school district,0,6,3
Dauphin County Technical School,Specialized public school district,0,0,0
Deep Roots CS,Charter agency,9,0,0
Deer Lakes SD,Regular local school district,1,8,0
Delaware County Technical High School,Specialized public school district,0,0,0
Delaware Valley SD,Regular local school district,0,7,2
Derry Area SD,Regular local school district,0,8,1
Derry Township SD,Regular local school district,1,8,0
Discovery CS,Charter agency,6,3,0
Donegal SD,Regular local school district,0,6,3
Dover Area SD,Regular local school district,0,0,9
Downingtown Area SD,Regular local school district,1,8,0
Dr Robert Ketterer CS Inc,Charter agency,1,3,2
DuBois Area SD,Regular local school district,0,6,3
Dunmore SD,Regular local school district,2,7,0
Duquesne City SD,Regular local school district,2,2,5
East Allegheny SD,Regular local school district,5,4,0
East Lycoming SD,Regular local school district,0,3,6
East Penn SD,Regular local school district,0,7,2
East Pennsboro Area SD,Regular local school district,0,9,0
East Stroudsburg Area SD,Regular local school district,0,0,9
Eastern Center for Arts & Technology,Specialized public school district,0,0,0
Eastern Lancaster County SD,Regular local school district,0,0,9
Eastern Lebanon County SD,Regular local school district,0,5,4
Eastern Westmoreland CTC,Specialized public school district,0,0,0
Eastern York SD,Regular local school district,0,9,0
Easton Area SD,Regular local school district,0,9,0
Easton Arts Academy Elementary CS,Charter agency,6,3,0
Elizabeth Forward SD,Regular local school district,0,4,5
Elizabethtown Area SD,Regular local school district,0,0,9
Elk Lake SD,Regular local school district,0,7,2
Ellwood City Area SD,Regular local school district,2,5,2
Environmental CS at Frick Park,Charter agency,5,4,0
Ephrata Area SD,Regular local school district,0,0,9
Erie City SD,Regular local school district,5,4,0
Erie County Technical School,Specialized public school district,0,0,0
Erie Rise Leadership Academy CS,Charter agency,6,3,0
Esperanza Academy CS,Charter agency,9,0,0
Eugenio Maria De Hostos CS,Charter agency,9,0,0
Everett Area SD,Regular local school district,1,5,3
Evergreen Community CS,Charter agency,0,0,0
Executive Education Academy CS,Charter agency,6,3,0
Exeter Township SD,Regular local school district,2,6,1
Fairfield Area SD,Regular local school district,0,9,0
Fairview SD,Regular local school district,2,7,0
Fannett-Metal SD,Regular local school district,1,8,0
Farrell Area SD,Regular local school district,0,9,0
Fayette County Career & Technical Institute,Specialized public school district,0,0,0
Fell CS,Charter agency,0,9,0
Ferndale Area SD,Regular local school district,0,9,0
First Philadelphia Preparatory CS,Charter agency,9,0,0
Fleetwood Area SD,Regular local school district,0,9,0
Folk Arts-Cultural Treasures CS,Charter agency,9,0,0
Forbes Road CTC,Specialized public school district,0,9,0
Forbes Road SD,Regular local school district,0,0,0
Forest Area SD,Regular local school district,1,8,0
Forest City Regional SD,Regular local school district,1,8,0
Forest Hills SD,Regular local school district,1,8,0
Fort Cherry SD,Regular local school district,1,8,0
Fort LeBoeuf SD,Regular local school district,0,1,8
Fox Chapel Area SD,Regular local school district,0,5,4
Franklin Area SD,Regular local school district,0,9,0
Franklin County CTC,Specialized public school district,0,0,0
Franklin Regional SD,Regular local school district,0,9,0
Franklin Towne CHS,Charter agency,9,0,0
Franklin Towne Charter Elementary School,Charter agency,9,0,0
Frazier SD,Regular local school district,1,5,3
Frederick Douglass Mastery CS,Charter agency,6,3,0
Freedom Area SD,Regular local school district,4,5,0
Freeport Area SD,Regular local school district,0,9,0
Freire CS,Charter agency,9,0,0
Fulton County Center for Career and Technology,Specialized public school district,0,0,0
Galeton Area SD,Regular local school district,0,0,0
Garnet Valley SD,Regular local school district,1,8,0
Gateway SD,Regular local school district,1,6,2
General McLane SD,Regular local school district,0,9,0
Gettysburg Area SD,Regular local school district,0,6,3
Gettysburg Montessori CS,Charter agency,0,2,7
Gillingham Charter School,Charter agency,9,0,0
Girard SD,Regular local school district,0,9,0
Glendale SD,Regular local school district,1,4,4
Global Leadership Academy CS,Charter agency,9,0,0
Global Leadership Academy CS Southwest at Huey,Charter agency,9,0,0
Governor Mifflin SD,Regular local school district,0,9,0
Great Valley SD,Regular local school district,1,8,0
Greater Altoona CTC,Specialized public school district,0,0,0
Greater Johnstown CTC,Specialized public school district,0,0,0
Greater Johnstown SD,Regular local school district,1,8,0
Greater Latrobe SD,Regular local school district,1,6,2
Greater Nanticoke Area SD,Regular local school district,3,4,2
Green Woods CS,Charter agency,5,4,0
Greencastle-Antrim SD,Regular local school district,0,9,0
Greene County CTC,Specialized public school district,0,0,0
Greensburg Salem SD,Regular local school district,0,9,0
Greenville Area SD,Regular local school district,0,9,0
Greenwood SD,Regular local school district,0,4,5
Grove City Area SD,Regular local school district,0,7,2
HOPE for Hyndman CS,Charter agency,1,8,0
Halifax Area SD,Regular local school district,0,4,5
Hamburg Area SD,Regular local school district,0,0,9
Hampton Township SD,Regular local school district,0,3,6
Hanover Area SD,Regular local school district,5,4,0
Hanover Public SD,Regular local school district,0,2,7
Harambee Institute of Science and Technology CS,Charter agency,0,0,0
Harbor Creek SD,Regular local school district,0,6,3
Harmony Area SD,Regular local school district,0,6,3
Harrisburg City SD,Regular local school district,9,0,0
Hatboro-Horsham SD,Regular local school district,3,5,1
Haverford Township SD,Regular local school district,1,8,0
Hazleton Area Career Center,Specialized public school district,0,0,0
Hazleton Area SD,Regular local school district,7,2,0
Hempfield Area SD,Regular local school district,0,0,0
Hempfield SD,Regular local school district,0,0,9
Hermitage SD,Regular local school district,0,7,2
Highlands SD,Regular local school district,1,8,0
Hollidaysburg Area SD,Regular local school district,1,8,0
Homer-Center SD,Regular local school district,0,0,0
Hopewell Area SD,Regular local school district,1,6,2
Howard Gardner Multiple Intelligence CS,Charter agency,1,8,0
Huntingdon Area SD,Regular local school district,0,9,0
Huntingdon County CTC,Specialized public school district,0,0,0
Imhotep Institute CHS,Charter agency,0,0,0
Independence CS,Charter agency,9,0,0
