,Virtual,Hybrid,In_Person,mean_proficient_english_2019,mean_proficient_math_2019,mean_proficient_english_2022,mean_proficient_math_2022,Unnamed: 0,NumberofSchools,DistrictEnrollment,PercentofGiftedStudents,CharterSchoolEnrollment,GeographicSizeofDistrict,AmericanIndian_AlaskanNative,Asian,NativeHawaiianorotherPacificIslander,Black,Hispanic,White,TwoOrMoreRaces,EconomicallyDisadvantaged,EnglishLearner,SpecialEducation,Female,Male,Homeless,MilitaryConnected,perc_unconnected_students,Latitude,Longitude
count,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0
mean,1.0347222222222223,5.631944444444445,2.076388888888889,45.61697920774004,28.65111923676058,41.00437704437295,24.43930020754665,251.00462962962962,4.8657407407407405,-0.0428503415517307,0.021234482284986415,-0.04701059473363513,0.031073822764377045,0.014714475035238064,-0.026979108105537736,0.004735602583482054,-0.019127979872764028,0.003708267621294905,0.01623507499626978,-0.008536028652103652,-0.010901316118236536,-0.018837009051286314,0.002451214172220318,-0.014185176049839265,0.01435830774096547,0.0066772379389601075,0.002926416233300132,-0.0016641714489814571,40.63853971527778,-77.66326250694445
std,1.792274712916073,2.9788423165368134,2.714778309248867,5.988525033093116,6.195308199534936,6.524886642533146,6.76508373075226,144.1477071043296,3.924523694026075,0.449452916139054,1.0184586867441394,0.11118479754181573,1.0408922784797245,1.0655764875814109,0.9512440799643969,1.007369387474774,0.9722547924607989,0.9794387429374786,0.9639430097977039,0.9946331968005321,0.9771828011141647,0.9672605517034096,1.0071893634694455,1.0045767505800707,1.0052932360627789,1.0015921079930759,0.9870009839997607,1.001768037216756,0.5824383306002199,1.8535730397291674
min,0.0,0.0,0.0,14.2,2.75,12.1,2.5,0.0,1.0,-0.4856949028027224,-1.3024027638628606,-0.0922720594680203,-0.8830101875204546,-0.4924637909756968,-0.5637273724272767,-0.6837166060687205,-0.523819344232595,-0.7198630091071158,-3.457849724487748,-1.2790486650159527,-2.384536094054386,-0.647712587098029,-2.807907370950017,-6.278589267914714,-2.832236110729343,-1.120007575331466,-0.5793516294309382,-1.8841648961133968,39.731393,-80.487323
25%,0.0,4.0,0.0,43.92166666666667,25.95,38.787499999999994,21.1875,124.75,3.0,-0.3348633493080985,-0.6663501605971544,-0.08161553789307832,-0.643267162326306,-0.4924637909756968,-0.4947305711417209,-0.6837166060687205,-0.4550195116660291,-0.5490692799795,-0.3144207459293785,-0.6579484764871073,-0.5547389299489021,-0.5759044153668768,-0.6716123736524843,-0.5512071189548755,-0.6281742063418946,-0.647628257769584,-0.5793516294309382,-0.7047960889114557,40.18566875,-79.7196505
50%,0.0,6.0,1.0,46.64999999999999,29.9,42.17500000000001,25.3,249.5,4.0,-0.187391265023235,-0.226006050643973,-0.07180589220488676,-0.2705973112819363,-0.1594835312238368,-0.4027348360943131,-0.6837166060687205,-0.35181976281618044,-0.3653038752219387,0.29766608487901663,-0.2416065918688702,0.0156250594953707,-0.3604799001734198,-0.0386360781569192,0.0698343188841422,-0.042720262988974245,-0.2342963549029374,-0.2962937347644517,-0.1806321745994818,40.521499500000004,-77.144567
75%,1.0,8.0,3.0,49.153124999999996,32.84999999999999,45.081250000000004,29.5,373.25,6.0,0.09570862107618325,0.4712054567818972,-0.05063399503612795,0.2831094796814198,0.1734967285280232,0.0112459716190217,0.2094105835341369,-0.07853153901009972,0.19031623092739355,0.7287780900058334,0.3112408286897724,0.4817600965538878,0.1182412447009288,0.706429769665986,0.6218711525188286,0.5427336803639411,0.356177792049415,0.1754694230130257,0.3435317397124921,41.0036655,-75.93709675
max,9.0,9.0,9.0,57.1,40.02,53.1,37.02,498.0,56.0,2.884455696239919,4.813487652153546,1.425611821550861,8.613525004185542,18.820391274632183,6.174960219795341,8.247555289959854,6.012164749591154,6.812356640014571,0.9915950343077434,4.918302666678461,2.925349980264376,6.772465158454375,3.2053674362578533,2.830018487057559,6.328396179381,8.799958093468055,9.138969420785097,2.440187396960388,42.219024,-74.741312
