StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Pennsylvania,PA,District,Yes,,,,,Ad Prima CS,Charter agency,4200129,126510015,651,Monthly,2/1/21,2/28/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Ad Prima CS,Charter agency,4200129,126510015,651,Monthly,3/1/21,3/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Ad Prima CS,Charter agency,4200129,126510015,651,Monthly,4/1/21,4/30/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,Yes,,,,,Ad Prima CS,Charter agency,4200129,126510015,651,Monthly,5/1/21,5/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,12/1/20,12/31/20,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,1/1/21,1/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,2/1/21,2/28/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,3/1/21,3/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,4/1/21,4/30/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Adams County Technical Institute,Specialized public school district,4200905,112015106,246,Monthly,5/1/21,5/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,12/1/20,12/31/20,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,1/1/21,1/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,2/1/21,2/28/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,3/1/21,3/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,4/1/21,4/30/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Admiral Peary AVTS,Specialized public school district,4280120,108110307,580,Monthly,5/1/21,5/31/21,,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Albert Gallatin Area SD,Regular local school district,4202100,101260303,3088,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,11/1/20,11/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,2/1/21,2/28/21,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Aliquippa SD,Regular local school district,4202130,127040503,940,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny Valley SD,Regular local school district,4202190,103020603,876,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,11/1/20,11/30/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Pennsylvania,PA,District,No,,,,,Allegheny-Clarion Valley SD,Regular local school district,4202310,106160303,616,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
